numero;seq;rotulo
40137344820168240000;50001;AGR
03028019020158240082;50002;AGR
03102316520148240038;50003;AGR
40080986720178240000;50002;AGR
03089690920168240039;50001;AGR
40066644320178240000;50002;AGR
40068414120168240000;50004;AGR
03129348620158240020;50002;AGR
03100539320168240023;50002;AGR
00152291920088240020;50005;AGR
00028898920098240058;50002;AGR
00035813520148240019;50001;AGR
00319157720088240023;50003;AGR
00212442320128240033;50001;AGR
00079353420038240005;50002;AGR
00014514720138240071;50001;AGR
01207117820078240023;50002;AGR
40179695820168240000;50001;AGR
10216979420138240023;50002;AGR
03025571620168240022;50001;AGR
40050070320168240000;50001;AGR
03210109020158240023;50002;AGR
03031569220158240020;50001;AGR
00611116820038240023;50006;AGR
40059883220168240000;50001;AGR
00018412320098240082;50001;AGR
05004446320118240125;50002;AGR
00064155320148240005;50001;AGR
05015804620128240033;50003;AGR
00412972620108240023;50002;AGR
00175374320138240023;50002;AGR
00036444520118240058;50002;AGR
00185678020168240000;50003;AGR
00174733320138240023;50003;AGR
00170277220118240064;50002;AGR
01387289020148240000;50002;AGR
00175227420138240023;50004;AGR
03004293220148240074;50003;AGR
00090273720058240018;50002;AGR
00166364020078240038;50001;AGR
00010397620138240052;50002;AGR
01476871620158240000;50002;AGR
03026201120158240011;50002;AGR
03002657420148240007;50002;AGR
05006466720138240061;50001;AGR
05006873420138240061;50001;AGR
40280217920178240000;50002;AGR
03009991820148240074;50001;AGR
40094401620178240000;50002;AGR
40052045520168240000;50002;AGR
03379142520148240023;50001;AGR
01621165620138240000;50001;AGR
03031884820158240004;50002;AGR
03088225120148240039;50002;AGR
00418071419988240038;50001;AGR
00484683420108240023;50002;AGR
00484683420108240023;50003;AGR
00625847019958240023;50002;AGR
00050395520108240075;50002;AGR
00071742020138240080;50002;AGR
00002258520058240071;50002;AGR
03267064420148240023;50004;AGR
03267064420148240023;50003;AGR
03039363220158240020;50002;AGR
40194770520178240000;50002;AGR
03075236820168240039;50001;AGR
03044479620168240019;50002;AGR
03109103320158240005;50002;AGR
03002152120168240058;50002;AGR
40176119320168240000;50001;AGR
00042235220108240082;50003;AGR
03093013320168240020;50001;AGR
40172671520168240000;50001;AGR
00604931620098240023;50007;AGR
00020385520138240011;50002;AGR
00022141120098240064;50002;AGR
00148314020108240008;50002;AGR
00126829120128240011;50002;AGR
00047184420148240054;50002;AGR
01237873820148240000;50002;AGR
00012423420068240068;50002;AGR
00097160320138240018;50001;AGR
00204423720118240008;50002;AGR
06000793120148240054;50001;AGR
00046246720118240033;50001;AGR
40086462920168240000;50002;AGR
03274514220158240038;50002;AGR
40021724220168240000;50004;AGR
40021724220168240000;50005;AGR
00213140320078240005;50002;AGR
00006832920148240058;50003;AGR
00074331220148240005;50001;AGR
05003544020138240075;50002;AGR
05006041820138240061;50002;AGR
05015023120138240061;50001;AGR
40110424220178240000;50002;AGR
03164917220158240023;50002;AGR
40155454320168240000;50001;AGR
03015895120148240023;50002;AGR
40183157220178240000;50002;AGR
40172989820178240000;50002;AGR
40137726020168240000;50003;AGR
00093050920168240000;50002;AGR
01515325620158240000;50001;AGR
06027316220148240008;50002;AGR
00004513520018240070;50001;AGR
00044962520118240008;50002;AGR
01146621220158240000;50002;AGR
00006598720128240052;50001;AGR
03014357720178240039;50001;AGR
01772988220138240000;50003;AGR
04310306920008240381;50001;AGR
01546893720158240000;50002;AGR
00238480820078240008;50002;AGR
00147804120078240038;50003;AGR
00501207020128240038;50005;AGR
05001655920128240055;50002;AGR
00023793820128240069;50001;AGR
00229799620138240020;50002;AGR
01565679420158240000;50003;AGR
03048401820148240075;50002;AGR
00059481920138240067;50005;AGR
00059481920138240067;50004;AGR
00048260820078240058;50002;AGR
00003366920148240066;50001;AGR
00336599820168240000;50001;AGR
00176130820118240033;50002;AGR
00102065120108240011;50001;AGR
00072454920108240008;50001;AGR
00072581820148240005;50002;AGR
03019007920158240064;50001;AGR
40000233920178240000;50002;AGR
00014499320038240082;50002;AGR
03010323420168240075;50002;AGR
03000921520148240051;50001;AGR
03042914820168240039;50001;AGR
03055316620158240020;50002;AGR
40044882820168240000;50001;AGR
03000534020148240076;50001;AGR
03060847920148240075;50002;AGR
40145286920168240000;50004;AGR
00060974120128240005;50001;AGR
03050685620158240075;50003;AGR
03013999320158240010;50001;AGR
40165852620178240000;50001;AGR
00005230420148240058;50002;AGR
40147053320168240000;50003;AGR
00200663920128240033;50002;AGR
03283831220148240023;50002;AGR
40243626220178240000;50001;AGR
40081627720178240000;50002;AGR
01236087920078240023;50001;AGR
08009347320138240082;50004;AGR
03039301820168240011;50001;AGR
40089684920168240000;50001;AGR
00178813320138240020;50000;AGR
40005367020188240000;50001;AGR
40099529620178240000;50004;AGR
40194346820178240000;50000;AGR
03001862520158240019;50002;AGR
01551146420158240000;50002;AGR
01563652020158240000;50002;AGR
00002677520128240076;50001;AGR
00020456620128240016;50002;AGR
05003484620138240006;50001;AGR
00143253320078240020;50001;AGR
00000828320108240051;50002;AGR
00134715820128240054;50003;AGR
00030315819968240023;50002;AGR
03044114420148240045;50002;AGR
03000033120148240135;50002;AGR
00029419120018240082;50002;AGR
00388405020128240023;50001;AGR
00011233720108240067;50001;AGR
00071384720128240036;50002;AGR
00099434220168240000;50003;AGR
09000012520158240087;50002;AGR
00058331520128240008;50002;AGR
01217007520158240000;50003;AGR
08538047820138240023;50001;AGR
00050623320148240019;50001;AGR
03063769320168240075;50001;AGR
03065210520158240005;50002;AGR
00148792820128240008;50003;AGR
00081400820068240054;50002;AGR
00024042420098240015;50002;AGR
00536368520088240023;50002;AGR
00106156320098240075;50001;AGR
03580433220068240023;50002;AGR
01585875820158240000;50002;AGR
40103576920168240000;50002;AGR
40084173520178240000;50001;AGR
40171035020168240000;50002;AGR
00117547920118240075;50004;AGR
00047817920098240075;50002;AGR
00247879420168240000;50002;AGR
00276325020138240018;50002;AGR
00097854020148240005;50002;AGR
00434941720118240023;50001;AGR
00033507320108240075;50001;AGR
00025732620128240073;50002;AGR
00004512420098240080;50002;AGR
00014584620118240059;50002;AGR
00008851420118240057;50002;AGR
08395864520138240023;50002;AGR
00072622320088240019;50004;AGR
05029191820128240008;50007;AGR
00159281920098240038;50005;AGR
40086263820168240000;50003;AGR
03043040220168240054;50002;AGR
03022828320148240007;50002;AGR
03006136120168240027;50002;AGR
03017586620158240067;50004;AGR
03017586620158240067;50003;AGR
03029796820158240040;50001;AGR
03042141020178240005;50002;AGR
03000643220178240022;50001;AGR
00025134020118240024;50002;AGR
00034299120108240062;50002;AGR
00353557220168240000;50001;AGR
00211531720098240039;50002;AGR
00034848320118240037;50001;AGR
00012814820118240038;50002;AGR
00009123320148240011;50004;AGR
00102086720108240125;50002;AGR
00035063320138240018;50003;AGR
00035063320138240018;50002;AGR
00050585220038240028;50001;AGR
03004818620158240011;50001;AGR
03014750720148240058;50002;AGR
03015561620148240135;50001;AGR
00022648620138240067;50001;AGR
05011332920128240075;50001;AGR
00180926520108240023;50003;AGR
00221508720058240023;50004;AGR
00153755920078240064;50002;AGR
00507259520118240023;50002;AGR
00014910920118240068;50002;AGR
03002607720158240052;50003;AGR
00009445620088240073;50001;AGR
00006412420158240032;50002;AGR
00177666720168240000;50003;AGR
00018405020068240015;50001;AGR
00255416820068240038;50002;AGR
00040112220098240064;50002;AGR
00333564320118240038;50001;AGR
00503375520088240038;50001;AGR
00377678720058240023;50001;AGR
03036088520158240058;50003;AGR
40252945020178240000;50002;AGR
03017413120168240023;50001;AGR
40131695020178240000;50002;AGR
00011385720138240016;50003;AGR
00030175920148240018;50002;AGR
00033095520118240016;50003;AGR
00557404520118240023;50002;AGR
00709977620128240023;50001;AGR
40030312420178240000;50001;AGR
40098138120168240000;50001;AGR
03022050620168240007;50002;AGR
03026233120168240075;50002;AGR
03005313620158240004;50001;AGR
03004364220148240068;50001;AGR
08010951820138240039;50003;AGR
00117530220108240020;50002;AGR
01218802820148240000;50002;AGR
00132789820058240018;50002;AGR
00182499720168240000;50001;AGR
00042513420138240011;50001;AGR
00027700220128240163;50002;AGR
00586657720128240023;50002;AGR
00051897520128240007;50001;AGR
03002380420158240057;50002;AGR
00033285720128240006;50001;AGR
00182064920108240008;50001;AGR
00144635320108240033;50001;AGR
00074306720058240039;50004;AGR
00074306720058240039;50003;AGR
01332783520158240000;50001;AGR
01600697520148240000;50002;AGR
00537106020098240038;50002;AGR
00263278920088240023;50003;AGR
05011179420138240025;50001;AGR
03008209220178240005;50001;AGR
00159093320108240020;50002;AGR
03020959620168240139;50002;AGR
03005092020158240087;50002;AGR
03007311720158240045;50002;AGR
00179516120108240018;50001;AGR
00015456920048240019;50001;AGR
00025201020138240041;50001;AGR
00010835520148240054;50002;AGR
00016144020148240023;50001;AGR
00038792220098240045;50003;AGR
00071500720128240054;50003;AGR
03005290220168240014;50003;AGR
40085178720178240000;50002;AGR
40105291120168240000;50002;AGR
03031071020148240045;50001;AGR
08010204420138240082;50004;AGR
00040114520098240024;50002;AGR
03036655220148240054;50001;AGR
08010204420138240082;50003;AGR
03009857720158240016;50004;AGR
40099641320178240000;50001;AGR
03070328420158240075;50001;AGR
40138765220168240000;50009;AGR
03011801820148240042;50002;AGR
40138765220168240000;50010;AGR
03013578120158240030;50002;AGR
03059869620178240008;50001;AGR
40059701120168240000;50009;AGR
03183384620148240023;50001;AGR
03024517020148240007;50002;AGR
08001765420138240063;50002;AGR
03066993020168240033;50002;AGR
40106621920178240000;50001;AGR
40159877220178240000;50001;AGR
40185815920178240000;50002;AGR
00176725520138240023;50004;AGR
00089877420138240018;50003;AGR
00106246020138240018;50001;AGR
00038792220098240045;50004;AGR
01226810720158240000;50005;AGR
00248095520168240000;50003;AGR
00024937220088240018;50002;AGR
00032528120138240011;50002;AGR
40159877220178240000;50002;AGR
03022207020158240019;50002;AGR
40135551720168240000;50004;AGR
03007661020158240034;50002;AGR
03007661020158240034;50003;AGR
03014428520168240045;50002;AGR
00002118520088240010;50005;AGR
00021306520128240141;50004;AGR
00143177520128240054;50003;AGR
00021591820128240141;50003;AGR
00025309820128240070;50003;AGR
00021063720128240141;50003;AGR
00572482620118240023;50001;AGR
03001960320158240041;50001;AGR
03012474920148240020;50001;AGR
00715251320128240023;50002;AGR
00022180620128240141;50003;AGR
00020786920128240141;50003;AGR
00135180920148240039;50001;AGR
01151584120158240000;50004;AGR
00008843920148240052;50001;AGR
00142820520118240005;50002;AGR
01548427020158240000;50003;AGR
00250226120168240000;50004;AGR
00248164720168240000;50003;AGR
00247800520168240000;50004;AGR
00247800520168240000;50005;AGR
01368162420158240000;50005;AGR
01368162420158240000;50004;AGR
01562769420158240000;50004;AGR
01562769420158240000;50003;AGR
00092055420168240000;50004;AGR
01136061520148240020;50003;AGR
01136061520148240020;50004;AGR
03010254220168240075;50002;AGR
03059920320158240064;50001;AGR
40174609320178240000;50002;AGR
00260341320168240000;50005;AGR
00260341320168240000;50004;AGR
00088330820168240000;50002;AGR
00008061220058240068;50002;AGR
00005281620128240084;50002;AGR
00013317820078240082;50004;AGR
00336443220168240000;50002;AGR
00065157420128240135;50001;AGR
06007437020148240019;50001;AGR
00106802920078240075;50001;AGR
03015612220148240011;50001;AGR
40200980220178240000;50002;AGR
00108913720148240005;50003;AGR
00086315320128240038;50002;AGR
40104806720168240000;50001;AGR
03022186620178240040;50001;AGR
40257474520178240000;50002;AGR
03187019620158240023;50001;AGR
03005113920168240027;50002;AGR
03016051120158240139;50002;AGR
03050757320168240023;50002;AGR
00036746820138240007;50002;AGR
40148014820168240000;50002;AGR
00025962120058240039;50004;AGR
00450608720108240038;50003;AGR
00019369420138240023;50002;AGR
05001941820128240053;50003;AGR
00022312020128240039;50002;AGR
00249931120168240000;50002;AGR
00304147720078240038;50003;AGR
00312790520168240000;50002;AGR
01751327720138240000;50002;AGR
05028297320138240008;50001;AGR
00040727320088240012;50002;AGR
00077943220138240080;50002;AGR
00009136720118240061;50003;AGR
00009136720118240061;50004;AGR
00010762620178240000;50002;AGR
00010762620178240000;50003;AGR
00136743920108240038;50002;AGR
00142376720098240038;50002;AGR
40137726020168240000;50002;AGR
03062435620158240020;50001;AGR
00088869420148240020;50001;AGR
00088869420148240020;50002;AGR
40055466620168240000;50002;AGR
03138416020148240064;50002;AGR
03020671020148240007;50002;AGR
40143034920168240000;50001;AGR
03003478020158240004;50001;AGR
03007462720148240075;50002;AGR
00046609120148240005;50002;AGR
03009437620178240042;50002;AGR
03015213820178240010;50001;AGR
00241311920128240020;50002;AGR
00021141420128240141;50003;AGR
00021574820128240141;50003;AGR
00021557820128240141;50003;AGR
03000029420148240119;50001;AGR
03115966820158240023;50002;AGR
00434242920138240023;50003;AGR
05002197720128240070;50001;AGR
00041501520078240073;50004;AGR
02276438620128240000;50001;AGR
00137799420128240054;50004;AGR
05009745220128240054;50002;AGR
00048475920088240054;50001;AGR
08002068920138240063;50002;AGR
03048542720158240023;50002;AGR
03111004820158240020;50001;AGR
40086930320168240000;50001;AGR
00124785320108240064;50002;AGR
00238324220128240020;50001;AGR
00123220320068240033;50001;AGR
00132067620138240036;50003;AGR
03004189720188240062;50002;AGR
03037035720158240045;50001;AGR
00023109720148240016;50001;AGR
00021327920138240018;50002;AGR
05003159620138240025;50002;AGR
05009974820128240005;50002;AGR
05039709120138240020;50001;AGR
05024927320128240023;50002;AGR
00030297220098240075;50002;AGR
00112395420128240125;50001;AGR
05026832120128240023;50001;AGR
00043472320138240052;50002;AGR
05020657620128240023;50005;AGR
00002144120108240084;50003;AGR
00151182120118240023;50001;AGR
00022532120138240079;50001;AGR
00001821720098240037;50002;AGR
00085365720138240080;50002;AGR
40161179620168240000;50001;AGR
03012670920178240061;50002;AGR
03194336620148240038;50002;AGR
40163860420178240000;50001;AGR
03002987520168240013;50002;AGR
40006475420188240000;50002;AGR
40129738020178240000;50003;AGR
03028575220148240020;50002;AGR
00021038120138240033;50001;AGR
03014557320178240005;50002;AGR
00083275420128240038;50005;AGR
00064878320108240036;50002;AGR
00007219120128240064;50001;AGR
03306999520148240023;50003;AGR
00109272720128240045;50001;AGR
00005604120138240066;50001;AGR
00050848720138240064;50002;AGR
00050822020138240064;50002;AGR
05006895920138240075;50001;AGR
00030597320088240033;50002;AGR
06001377720148240072;50001;AGR
00162819320088240038;50004;AGR
00016355620058240047;50002;AGR
00063698220138240075;50002;AGR
00220211920138240018;50002;AGR
01252448020078240023;50001;AGR
00005413020128240079;50001;AGR
00177379520138240008;50002;AGR
03012415320148240081;50001;AGR
00032541520108240057;50001;AGR
00188179720098240020;50001;AGR
00040457020128240038;50001;AGR
00054742920088240033;50001;AGR
05016864020138240011;50002;AGR
00048034820098240040;50001;AGR
03002989620148240061;50001;AGR
03020418720178240045;50002;AGR
40080215820178240000;50003;AGR
40062937920178240000;50001;AGR
03005116720168240050;50001;AGR
03078891020168240039;50002;AGR
40096333120178240000;50001;AGR
03105158420158240023;50001;AGR
03032618920178240023;50002;AGR
03087597320168240033;50001;AGR
03002651520168240004;50001;AGR
03009001620148240020;50001;AGR
03005364420148240020;50002;AGR
00249359320138240038;50001;AGR
00016309820108240066;50001;AGR
00004274720108240084;50002;AGR
00024994320138240135;50003;AGR
00013171920138240039;50002;AGR
00008165220118240163;50001;AGR
05017946720128240023;50002;AGR
03007370820158240018;50001;AGR
03022219220148240018;50001;AGR
00009418220138240055;50002;AGR
00056652520138240025;50001;AGR
00136826520138240020;50002;AGR
01863795520138240000;50001;AGR
00154674420128240005;50002;AGR
00063572420138240025;50001;AGR
00040931320088240024;50001;AGR
06008281420148240033;50002;AGR
05001296520128240039;50004;AGR
00024941920128240050;50002;AGR
00090116120138240064;50002;AGR
00105938920168240000;50001;AGR
03035218920148240018;50002;AGR
00225720320078240020;50001;AGR
00011996919958240008;50003;AGR
06002244420148240036;50001;AGR
00018969120098240043;50002;AGR
00010699520058240051;50002;AGR
00008592320118240087;50001;AGR
00044876420028240045;50001;AGR
00037615020128240139;50002;AGR
00003019420128240029;50003;AGR
00054774720098240033;50004;AGR
01786862020138240000;50002;AGR
00253058820118240023;50001;AGR
01572218120158240000;50003;AGR
00030140820098240139;50001;AGR
00052520520098240008;50002;AGR
00226073520098240038;50002;AGR
00135318120128240005;50002;AGR
40068673920168240000;50002;AGR
03128252920168240023;50002;AGR
00225293920068240008;50002;AGR
00048525720118240028;50002;AGR
00014480220118240059;50002;AGR
00042235220108240082;50004;AGR
01220843820158240000;50002;AGR
00019321720118240059;50002;AGR
00067462720088240011;50001;AGR
10010452320168240000;50001;AGR
03004148820158240022;50003;AGR
00095079420068240045;50002;AGR
00019633720118240059;50002;AGR
01666634220138240000;50002;AGR
03040588820158240038;50001;AGR
05000812320138240023;50002;AGR
03115235120158240038;50003;AGR
03011029420158240072;50001;AGR
00010438120078240066;50004;AGR
00131301820048240020;50002;AGR
03010391020178240166;50001;AGR
40054363320178240000;50001;AGR
00038626420128240082;50002;AGR
03007182220158240076;50001;AGR
00218901520128240039;50002;AGR
00696830320098240023;50002;AGR
03000991520168240058;50002;AGR
03016856520168240033;50002;AGR
03003390720168240057;50001;AGR
40081110320168240000;50003;AGR
03000567320178240113;50001;AGR
40100017420168240000;50001;AGR
40133548820178240000;50003;AGR
03003088620178240045;50002;AGR
40078409120168240000;50002;AGR
03002640420158240024;50002;AGR
03032913420158240011;50002;AGR
40180930720178240000;50001;AGR
03031100920158240019;50002;AGR
00139080220128240054;50003;AGR
40209693220178240000;50002;AGR
03199775420148240038;50001;AGR
40067089620168240000;50002;AGR
40174400520178240000;50002;AGR
03020171620158240082;50002;AGR
40263164620178240000;50002;AGR
03011217020158240082;50002;AGR
03006115520158240018;50001;AGR
03215615920148240038;50002;AGR
03024739220168240061;50002;AGR
10068222220138240023;50001;AGR
03015569820158240064;50001;AGR
03002775120168240029;50002;AGR
03157965520148240023;50002;AGR
00469672120058240023;50002;AGR
00000397920068240054;50002;AGR
05002911620098240023;50002;AGR
00015029520098240007;50002;AGR
00168386620088240075;50002;AGR
00005505720088240038;50006;AGR
00006871620088240078;50002;AGR
00019395920088240141;50002;AGR
00563255720088240038;50004;AGR
00084677520088240023;50003;AGR
00084677520088240023;50004;AGR
40186352520178240000;50001;AGR
01034110620078240023;50001;AGR
40089338920168240000;50002;AGR
05028510420138240018;50001;AGR
00127314420128240008;50001;AGR
40095253620168240000;50002;AGR
00032002720148240019;50001;AGR
00045868220128240045;50002;AGR
00000488220148240079;50001;AGR
00068842720138240008;50002;AGR
00089820320148240023;50007;AGR
00089820320148240023;50006;AGR
00022727420048240036;50002;AGR
09001008020148240167;50002;AGR
03002703620148240124;50002;AGR
00022734220108240006;50002;AGR
00009002620058240046;50003;AGR
00030998820108240064;50004;AGR
40147711320168240000;50002;AGR
01509956020158240000;50002;AGR
03102937320158240005;50001;AGR
40066188820168240000;50002;AGR
00024299120148240005;50002;AGR
03036943720148240011;50001;AGR
40143031520178240000;50002;AGR
40112502620178240000;50001;AGR
00026531520108240055;50001;AGR
03138938220148240023;50001;AGR
00210626720128240023;50003;AGR
00210626720128240023;50004;AGR
03020152620158240024;50001;AGR
40133517020168240000;50001;AGR
40265701920178240000;50002;AGR
03050994720158240020;50002;AGR
03029650720168240022;50002;AGR
00000811820138240076;50001;AGR
40142599320178240000;50002;AGR
40180454820178240000;50001;AGR
03051352620148240020;50002;AGR
03058617820168240036;50001;AGR
05000257820128240005;50002;AGR
40147015920178240000;50001;AGR
00009379620138240038;50002;AGR
00163410620018240008;50003;AGR
00066025420098240064;50002;AGR
00032541520108240057;50000;AGR
00003543519928240075;50001;AGR
40053968520168240000;50003;AGR
40222805820178240000;50001;AGR
00002370220138240045;50002;AGR
00332372620168240000;50001;AGR
40092517220168240000;50001;AGR
40279308620178240000;50001;AGR
03028048820168240024;50002;AGR
03009857720158240016;50003;AGR
00065282320138240011;50002;AGR
40180527420168240000;50001;AGR
00123705420138240020;50001;AGR
03006406620158240031;50002;AGR
00031681620128240076;50002;AGR
40167146520168240000;50002;AGR
40044978720168240000;50002;AGR
40059277420168240000;50002;AGR
06937939020048240023;50001;AGR
00378952920138240023;50002;AGR
00006412420158240032;50001;AGR
05009939620108240064;50003;AGR
00189700820118240038;50002;AGR
02222810620128240000;50001;AGR
00034061420138240007;50001;AGR
00004103920128240052;50003;AGR
00004103920128240052;50004;AGR
03025263620158240020;50001;AGR
00122830720138240018;50001;AGR
01621165620138240000;50002;AGR
40289440820178240000;50001;AGR
40164634720168240000;50001;AGR
08013322020138240082;50002;AGR
03094076920148240018;50002;AGR
00521496420108240038;50002;AGR
01450907420158240000;50002;AGR
00098586720098240011;50001;AGR
00011539420108240189;50002;AGR
01389510920158240000;50002;AGR
00016868120138240081;50001;AGR
00178999420128240018;50002;AGR
00070034420138240054;50003;AGR
03027160520168240039;50001;AGR
40147313120168240000;50002;AGR
40112818020168240000;50002;AGR
03065429620168240020;50002;AGR
40242387920178240000;50002;AGR
03053426920178240036;50003;AGR
40118972120178240000;50002;AGR
03022808120168240092;50001;AGR
40170235220178240000;50001;AGR
03178261820148240038;50002;AGR
05015804620128240033;50002;AGR
03027160520168240039;50002;AGR
00012861020128240079;50002;AGR
00015748720098240167;50003;AGR
00012983620148240020;50002;AGR
00037308020068240061;50002;AGR
00001910420148240166;50001;AGR
00012114620138240075;50001;AGR
00028492720148240125;50001;AGR
00029023020108240066;50001;AGR
00090804120078240020;50002;AGR
00041965720138240052;50002;AGR
00314939320168240000;50002;AGR
00145226020098240038;50002;AGR
00018606920118240046;50001;AGR
00159502420118240033;50001;AGR
00003643020118240167;50002;AGR
01560196920158240000;50002;AGR
00024041220008240024;50002;AGR
03038895720148240064;50002;AGR
00004098120108240001;50002;AGR
03106801120178240008;50001;AGR
40182464020178240000;50002;AGR
00100387220168240000;50002;AGR
00092107620168240000;50002;AGR
00032640720138240008;50001;AGR
00396112820128240023;50002;AGR
00311186720098240023;50002;AGR
